,time,load_shortfall_3h
0,2018-01-01 00:00:00,6864.55866666666
1,2018-01-01 03:00:00,4209.262666666664
2,2018-01-01 06:00:00,3832.7760000000003
3,2018-01-01 09:00:00,5487.587999999998
4,2018-01-01 12:00:00,6216.380000000006
5,2018-01-01 15:00:00,6858.412000000004
6,2018-01-01 18:00:00,7398.2293333333355
7,2018-01-01 21:00:00,7652.4
8,2018-01-02 00:00:00,7920.70933333333
9,2018-01-02 03:00:00,4466.454666666662
10,2018-01-02 06:00:00,4334.725333333331
11,2018-01-02 09:00:00,7126.018666666662
12,2018-01-02 12:00:00,7762.716000000004
13,2018-01-02 15:00:00,8604.19133333334
14,2018-01-02 18:00:00,8917.900000000005
15,2018-01-02 21:00:00,8303.81333333333
16,2018-01-03 00:00:00,8626.705333333324
17,2018-01-03 03:00:00,4994.957333333336
18,2018-01-03 06:00:00,4431.354666666669
19,2018-01-03 09:00:00,5900.8133333333335
20,2018-01-03 12:00:00,6186.44933333334
21,2018-01-03 15:00:00,6116.661333333339
22,2018-01-03 18:00:00,6418.2733333333335
23,2018-01-03 21:00:00,5991.142666666669
24,2018-01-04 00:00:00,7938.339999999998
25,2018-01-04 03:00:00,4954.826666666665
26,2018-01-04 06:00:00,4643.367999999995
27,2018-01-04 09:00:00,5521.709333333337
28,2018-01-04 12:00:00,6191.406666666675
29,2018-01-04 15:00:00,5974.864000000003
30,2018-01-04 18:00:00,5105.580000000002
31,2018-01-04 21:00:00,5303.0973333333395
32,2018-01-05 00:00:00,7390.8240000000005
33,2018-01-05 03:00:00,3674.918666666665
34,2018-01-05 06:00:00,4005.343999999997
35,2018-01-05 09:00:00,5416.212000000007
36,2018-01-05 12:00:00,5741.949333333335
37,2018-01-05 15:00:00,4901.730666666678
38,2018-01-05 18:00:00,5749.514666666676
39,2018-01-05 21:00:00,6829.228000000001
40,2018-01-06 00:00:00,8315.866666666669
41,2018-01-06 03:00:00,6260.787999999994
42,2018-01-06 06:00:00,7117.862666666666
43,2018-01-06 09:00:00,8197.897333333334
44,2018-01-06 12:00:00,8746.038666666667
45,2018-01-06 15:00:00,8364.874666666663
46,2018-01-06 18:00:00,8642.389333333333
47,2018-01-06 21:00:00,9203.077333333333
48,2018-01-07 00:00:00,9092.836
49,2018-01-07 03:00:00,6835.526666666664
50,2018-01-07 06:00:00,6754.355999999997
51,2018-01-07 09:00:00,8525.570666666661
52,2018-01-07 12:00:00,9076.427999999996
53,2018-01-07 15:00:00,9657.98266666666
54,2018-01-07 18:00:00,10480.641333333328
55,2018-01-07 21:00:00,9852.173333333329
56,2018-01-08 00:00:00,10583.381333333338
57,2018-01-08 03:00:00,8082.041333333328
58,2018-01-08 06:00:00,9125.357333333332
59,2018-01-08 09:00:00,11190.30933333334
60,2018-01-08 12:00:00,12129.67
61,2018-01-08 15:00:00,12539.827999999996
62,2018-01-08 18:00:00,12170.620666666664
